,Unnamed: 0,id,amenity,est,nor,Ai,centers,label
0,0,108042,pub,529440.033,182161.332,34.86,False,313
1,1,108539,bicycle rental,532352.034,182857.383,13.22,False,9
2,3,451152,pub,525134.348,190654.281,8.3,False,256
3,4,451153,restaurant,525207.595,190788.528,5.72,False,256
4,5,451154,pub,525041.014,190512.428,8.16,False,256
5,6,451156,place of worship,524930.372,190514.737,5.73,False,256
6,7,451271,pub,526351.277,192160.391,7.72,False,224
7,9,699763,place of worship,523883.78,179967.357,10.98,False,281
8,10,2838058,park,532129.983,197947.817,4.54,False,202
9,12,2903368,park,532467.047,197703.37,4.82,False,202
10,15,2914274,park,525195.414,190280.946,4.64,False,256
11,17,2939009,park,532490.71,196231.171,5.1,False,188
12,24,2956183,parking,537543.027,173699.903,6.65,False,154
13,25,2956184,parking,537819.869,173581.255,4.27,False,154
14,30,3178749,park,526838.1,181245.087,61.83,False,41
15,31,3241371,park,530106.403,181972.507,19.48,False,92
16,32,3241840,park,529891.86,182339.461,21.06,False,313
17,42,3678121,garden,523128.187,174474.368,5.96,False,137
18,59,3988895,park,522695.48,189280.868,4.68,False,256
19,87,4075108,park,530926.434,181470.645,21.11,False,180
20,88,4075111,garden,530988.75,181329.074,18.86,False,180
21,95,4076420,place of worship,531558.127,181129.943,42.24,False,186
22,102,4076629,parking,537302.26,173383.619,4.74,False,154
23,103,4076630,parking,537310.641,173493.533,7.24,False,154
24,116,4081035,park,528686.346,182116.649,10.23,False,313
25,117,4081036,park,528656.031,182232.34,6.8,False,313
26,118,4081049,park,528378.296,180794.952,25.3,False,207
27,121,4085758,park,527979.245,163536.702,3.52,False,80
28,122,4089846,parking,515385.063,180224.182,11.55,False,269
29,123,4089847,parking,515618.215,180121.878,9.14,False,269
30,125,4090239,park,514744.647,186723.252,4.19,False,189
31,129,4097476,park,531702.054,187416.756,3.61,False,303
32,139,4180556,park,528593.462,195503.954,4.5,False,111
33,145,4227933,parking,525351.444,175081.734,4.5,False,310
34,150,4239295,school,535654.246,183770.616,9.18,False,209
35,151,4239815,park,525146.896,176486.429,15.42,False,126
36,152,4240417,park,527093.825,175064.371,11.77,False,181
37,153,4240903,parking,513736.215,185519.315,4.23,False,177
38,159,4243023,supermarket,523139.042,184589.563,6.32,False,30
39,160,4243024,parking,523064.981,184605.947,6.83,False,30
40,161,4244828,park,523042.769,180529.119,3.4,False,282
41,162,4244829,park,523501.825,179865.768,26.21,False,281
42,169,4251186,park,517403.003,180257.653,3.93,False,252
43,170,4251190,park,516655.653,180365.639,5.07,False,252
44,174,4252522,park,524975.739,175987.892,3.46,False,126
45,175,4252532,park,525518.607,175998.717,3.95,False,280
46,176,4253286,park,529851.459,182143.588,19.21,False,92
47,177,4253288,park,529765.78,182244.072,18.28,False,313
48,179,4253431,park,529839.192,181663.596,40.3,False,92
49,180,4253511,garden,529692.547,182506.365,25.46,False,313
50,181,4253527,park,531609.599,179062.184,7.38,False,179
51,182,4253646,park,530356.197,181985.818,27.38,False,98
52,183,4253657,park,530612.333,181705.497,34.86,False,98
53,184,4253887,park,528770.767,180597.322,38.7,False,207
54,185,4253932,park,530586.924,180751.169,50.21,False,180
55,186,4253966,park,530046.497,182545.456,32.63,False,313
56,187,4254099,park,530489.85,180522.911,27.75,False,149
